id_respuesta,facultad,semestre,genero,claridad_clases,organizacion_programa,disponibilidad_docentes,uso_tecnologia,relevancia_contenidos,evaluacion_aprendizaje,infraestructura_aulas,satisfaccion_general
1,Derecho,1,M,5,5,5,3,5,4,5,5
2,Derecho,9,M,5,3,4,7,5,4,3,4
3,Educacion,6,F,6,6,3,3,4,3,5,4
4,Electromecanica,10,M,5,5,5,5,6,6,6,5
5,Informatica,6,F,5,6,6,4,5,4,5,5
6,Educacion,9,F,5,7,4,5,6,5,6,5
7,Educacion,6,F,4,7,5,6,6,7,5,6
8,Informatica,4,F,7,6,6,6,6,5,4,5
9,Informatica,8,M,6,6,6,4,5,6,5,5
10,Derecho,5,F,5,6,6,6,4,5,6,5
11,Educacion,9,F,5,5,4,7,6,5,5,5
12,Electromecanica,2,F,6,3,5,4,7,4,5,5
13,Electromecanica,4,M,5,4,6,4,5,5,6,5
14,Informatica,1,F,5,5,5,3,4,3,4,4
15,Educacion,10,M,4,5,6,5,4,5,5,5
16,Derecho,1,M,6,6,5,6,7,6,6,6
17,Educacion,2,M,6,5,5,4,6,6,6,5
18,Derecho,7,F,4,6,5,6,4,4,6,5
19,Electromecanica,8,F,5,5,5,4,5,5,1,4
20,Informatica,9,F,6,6,6,6,5,7,5,6
21,Informatica,2,M,5,5,6,7,5,6,6,6
22,Educacion,2,F,6,7,5,6,6,5,7,6
23,Educacion,6,M,5,3,2,2,5,4,5,4
24,Educacion,3,M,4,6,5,4,6,4,3,5
25,Informatica,8,M,6,6,5,6,7,6,5,6
26,Derecho,7,F,4,6,4,4,5,3,5,4
27,Informatica,6,F,6,7,7,7,7,5,5,7
28,Educacion,3,M,4,4,4,6,4,5,2,4
29,Electromecanica,2,M,6,5,7,5,5,7,6,6
30,Informatica,2,M,5,3,5,5,4,7,5,5
31,Derecho,5,F,3,5,4,6,4,4,3,4
32,Informatica,9,F,5,6,6,4,6,6,3,5
33,Informatica,7,M,5,6,3,6,4,3,4,4
34,Informatica,5,F,5,4,5,4,5,5,6,5
35,Electromecanica,3,F,4,3,7,6,5,6,5,5
36,Educacion,10,F,5,6,4,5,4,5,5,5
37,Educacion,2,M,5,3,4,5,5,4,5,4
38,Derecho,6,M,6,5,4,6,4,7,4,5
39,Informatica,4,M,4,6,6,6,6,6,5,5
40,Informatica,3,F,6,3,5,3,5,2,5,4
41,Electromecanica,10,M,6,5,4,7,6,4,5,6
42,Derecho,5,M,3,4,6,6,4,6,2,5
43,Derecho,7,F,3,5,5,5,4,5,3,4
44,Educacion,7,M,7,4,6,7,7,6,6,7
45,Informatica,1,F,5,5,6,6,4,4,4,5
46,Derecho,2,F,5,6,6,5,7,7,5,6
47,Informatica,4,F,5,7,6,3,5,5,3,5
48,Derecho,1,M,6,7,7,4,5,5,4,6
49,Educacion,5,M,6,4,5,6,6,5,3,5
50,Electromecanica,6,F,6,5,6,4,6,5,7,6
51,Derecho,9,F,4,3,5,2,4,3,4,3
52,Electromecanica,5,M,5,4,5,5,4,5,4,4
53,Informatica,4,M,3,4,5,5,3,5,6,4
54,Informatica,4,M,5,5,5,4,5,6,4,5
55,Informatica,8,F,5,5,6,6,7,7,3,5
56,Informatica,1,F,5,4,4,5,5,5,2,5
57,Informatica,9,M,3,6,6,5,4,4,5,4
58,Informatica,2,F,2,4,5,3,6,4,4,4
59,Informatica,8,F,7,5,5,4,7,5,3,5
60,Electromecanica,2,F,4,4,6,3,4,6,6,5
61,Educacion,9,M,3,4,5,3,6,5,4,4
62,Informatica,5,F,4,6,7,5,6,7,5,6
63,Educacion,8,M,5,5,6,6,4,5,3,4
64,Informatica,5,M,6,5,3,4,4,5,3,4
65,Derecho,10,M,6,5,3,4,4,6,7,5
66,Informatica,3,M,7,5,5,7,5,5,5,6
67,Derecho,5,M,4,5,5,5,6,6,5,5
68,Electromecanica,7,M,6,4,6,6,7,2,3,5
69,Informatica,9,M,4,4,4,5,6,6,4,5
70,Informatica,8,M,5,4,4,6,5,6,5,5
71,Educacion,8,F,4,6,4,6,6,6,6,6
72,Derecho,6,M,6,5,5,4,6,5,5,5
73,Informatica,4,F,6,6,6,4,4,3,7,5
74,Informatica,3,F,6,3,5,5,6,6,4,5
75,Educacion,3,F,5,6,7,5,6,4,6,5
76,Derecho,7,M,6,4,7,5,5,4,6,5
77,Electromecanica,1,M,3,4,5,4,4,4,5,4
78,Derecho,6,F,5,4,5,5,4,6,4,5
79,Derecho,5,M,4,5,5,3,4,5,5,4
80,Derecho,5,F,3,5,4,5,3,4,5,5
81,Informatica,4,M,7,5,6,6,5,6,5,6
82,Electromecanica,6,F,4,4,6,6,5,4,4,5
83,Derecho,5,M,5,5,5,4,5,6,3,5
84,Electromecanica,9,M,6,5,4,4,4,3,3,4
85,Electromecanica,4,M,5,6,6,5,6,4,6,6
86,Educacion,8,F,6,5,5,7,6,5,6,6
87,Informatica,9,F,6,5,6,3,5,5,7,5
88,Electromecanica,2,F,4,3,6,4,4,4,5,4
89,Informatica,2,M,4,6,5,5,4,4,6,5
90,Derecho,1,F,6,7,6,7,7,4,7,6
91,Informatica,3,M,4,5,5,6,5,7,3,5
92,Electromecanica,9,F,6,6,5,5,4,5,4,5
93,Informatica,3,M,5,4,6,5,5,3,3,4
94,Informatica,6,M,5,5,4,5,5,5,5,5
95,Informatica,2,M,5,7,4,5,7,3,6,5
96,Informatica,5,F,3,4,4,4,5,5,3,4
97,Informatica,1,F,6,7,5,6,5,4,5,5
98,Informatica,10,F,5,5,7,4,6,5,7,5
99,Informatica,5,M,5,6,6,5,6,7,5,6
100,Informatica,8,M,3,3,6,2,5,5,4,4
101,Informatica,1,M,7,5,5,5,6,6,7,6
102,Derecho,6,F,5,6,6,4,5,6,3,5
103,Electromecanica,2,F,6,7,4,7,5,5,6,5
104,Informatica,2,F,7,5,5,4,6,5,3,5
105,Educacion,6,M,6,5,4,5,6,5,4,5
106,Electromecanica,2,F,7,4,6,3,5,6,4,5
107,Electromecanica,6,M,6,5,6,3,6,5,5,5
108,Educacion,9,F,5,6,5,5,4,6,5,5
109,Informatica,9,M,5,3,7,3,4,6,5,5
110,Electromecanica,7,F,6,6,5,4,7,6,3,6
111,Electromecanica,9,F,5,6,5,6,6,7,4,5
112,Informatica,2,F,6,7,5,5,5,6,7,6
113,Educacion,8,F,5,4,4,5,5,4,4,5
114,Derecho,4,M,5,4,5,6,4,4,5,4
115,Informatica,10,F,7,6,5,7,6,5,6,6
116,Informatica,9,F,6,7,7,7,4,7,5,6
117,Informatica,7,F,7,5,6,3,5,4,4,5
118,Informatica,8,M,7,6,6,5,6,7,4,6
119,Electromecanica,4,M,5,6,4,4,5,3,2,4
120,Electromecanica,5,M,4,3,5,5,6,3,4,5
121,Derecho,9,F,4,5,6,5,7,5,3,5
122,Electromecanica,6,F,6,2,4,5,6,3,4,4
123,Electromecanica,2,M,5,6,5,3,4,5,5,4
124,Derecho,5,M,5,7,7,5,7,5,6,6
125,Educacion,6,F,3,5,4,5,5,5,3,4
126,Informatica,2,M,5,5,7,4,6,5,6,6
127,Informatica,7,M,6,5,5,4,4,5,5,5
128,Electromecanica,8,F,5,5,6,2,6,5,4,5
129,Informatica,8,F,4,5,5,4,7,6,4,5
130,Informatica,5,M,5,3,4,5,5,5,5,4
131,Electromecanica,2,M,5,4,6,6,6,7,5,5
132,Informatica,4,F,4,4,5,3,4,5,4,4
133,Informatica,7,M,6,3,7,6,5,4,4,5
134,Electromecanica,10,F,5,7,7,7,4,5,5,5
135,Educacion,4,M,5,6,7,6,7,6,5,6
136,Derecho,10,F,4,3,3,3,7,7,5,4
137,Educacion,10,M,6,4,5,4,5,5,7,5
138,Electromecanica,5,M,4,5,5,3,5,3,3,4
139,Electromecanica,6,M,4,5,4,5,4,5,5,4
140,Derecho,4,F,6,7,5,6,6,7,5,6
141,Derecho,2,M,6,5,5,5,3,5,4,5
142,Electromecanica,7,F,5,6,4,5,7,5,5,5
143,Informatica,9,M,5,7,6,5,7,5,6,6
144,Electromecanica,4,M,4,6,6,4,6,4,5,5
145,Informatica,10,M,6,4,4,5,5,3,4,5
146,Informatica,2,M,5,6,4,5,5,2,6,5
147,Electromecanica,10,F,5,5,5,4,6,5,5,5
148,Informatica,1,M,5,6,6,3,6,7,3,5
149,Informatica,3,F,7,5,4,7,4,6,3,5
150,Electromecanica,5,M,4,5,6,5,7,4,5,5
151,Electromecanica,6,M,7,4,5,5,5,4,7,6
152,Electromecanica,5,F,5,5,4,4,5,4,5,5
153,Educacion,5,F,4,4,7,5,5,5,5,5
154,Electromecanica,3,F,7,7,6,5,5,4,6,6
155,Informatica,5,F,7,7,5,5,7,5,7,6
156,Educacion,7,M,7,5,3,4,5,4,6,5
157,Informatica,8,M,7,7,6,7,5,7,4,6
158,Informatica,5,F,3,6,3,5,4,6,5,4
159,Informatica,6,F,4,5,4,5,3,3,4,4
160,Electromecanica,8,M,6,4,3,6,4,4,2,4
161,Informatica,4,F,5,6,7,6,6,4,6,6
162,Electromecanica,10,F,4,4,5,6,5,6,2,4
163,Derecho,3,M,5,7,6,4,7,5,6,6
164,Derecho,9,M,6,5,6,5,6,6,6,6
165,Electromecanica,9,F,7,7,7,6,6,4,7,6
166,Educacion,7,M,6,7,6,5,5,4,5,5
167,Informatica,9,M,5,4,6,5,5,7,3,5
168,Informatica,6,F,5,6,4,6,6,3,6,5
169,Informatica,4,F,6,5,5,4,4,3,4,5
170,Informatica,9,M,5,6,4,3,4,5,3,5
171,Educacion,9,F,5,6,4,4,6,6,4,5
172,Derecho,7,M,6,5,6,6,7,6,6,6
173,Informatica,8,F,7,5,6,6,6,7,7,6
174,Electromecanica,4,F,4,4,4,5,4,5,2,4
175,Derecho,6,M,7,6,7,6,7,6,6,6
176,Educacion,9,M,7,5,7,5,6,4,5,5
177,Educacion,8,M,5,7,6,6,7,7,7,6
178,Informatica,6,F,5,6,4,4,4,5,7,5
179,Derecho,8,M,5,4,5,3,6,4,4,4
180,Electromecanica,1,F,5,5,5,5,5,4,5,5
181,Electromecanica,10,M,7,6,6,5,5,4,5,6
182,Informatica,3,F,7,5,6,5,6,5,7,6
183,Educacion,8,F,7,7,7,5,7,5,7,6
184,Informatica,1,F,5,5,3,3,7,7,4,5
185,Informatica,10,M,6,4,5,6,4,4,5,5
186,Informatica,7,F,5,3,4,6,4,4,4,4
187,Electromecanica,2,M,3,5,4,6,5,4,4,4
188,Educacion,8,F,5,6,5,4,4,6,6,5
189,Electromecanica,2,M,4,3,5,3,5,4,4,4
190,Informatica,3,M,6,4,5,6,5,6,6,5
191,Informatica,5,M,7,6,7,3,5,5,4,5
192,Derecho,2,F,6,4,6,6,6,5,7,6
193,Informatica,2,F,6,4,4,3,4,6,6,5
194,Informatica,6,F,3,6,6,4,7,3,2,5
195,Informatica,5,M,6,5,6,5,5,5,4,5
196,Electromecanica,2,M,3,6,6,5,6,4,6,5
197,Derecho,10,M,7,4,5,5,7,5,6,6
198,Informatica,4,M,3,3,4,3,3,5,4,4
199,Informatica,2,M,5,3,5,4,4,5,3,4
200,Educacion,8,F,4,5,5,6,3,4,5,5
